Ref;Tipo;Nickname;Nombre;Apellido;Email;Clave;URLImagen
U1;P;lgarcia;Lucía;García;lgarcia85@gmail.com;awdrg543;https://blfw.short.gy/G1Ylvj
U2;P;matilo;Matías;López;matias.lopez90@hotmail.com;edrft543;https://blfw.short.gy/WFVWns
U3;P;maro;María;Rodríguez;marrod@gmail.com;r5t6y7u8;https://blfw.short.gy/64PVAe
U4;P;javierf;Javier;Fernández;javierf93@yahoo.com;45idgaf67;https://blfw.short.gy/V8xhmK
U5;P;valen25;Valentina;Martínez;vale87@gmail.com;poiuy987;https://blfw.short.gy/HIMtg7
U6;P;andpe12;Andrés;Pérez;anpe92@hotmail.com;xdrgb657;https://blfw.short.gy/nqLl36
U7;P;sicam;Camila;Silva;camilasilva89@gmail.com;mnjkiu89;https://blfw.short.gy/ZyTlSt
U8;P;sebgon;Sebastián;González;gonza95@yahoo.com;ytrewq10;https://blfw.short.gy/Q4mSRi
U9;P;isabel;Isabella;López;loisa@gmail.com;sbsplol1;https://blfw.short.gy/Wv6ZjA
U10;P;marram02;Martín;Ramírez;marram@hotmail.com;okmnji98;https://blfw.short.gy/ENxkLG
U11;E;EcoTech;Sophia;Johnson;info@EcoTech.com;qsxcdw43;https://blfw.short.gy/Gf3kne
U12;E;FusionTech;William;Smith;contacto@FusionTech.net;qpwoei586;https://blfw.short.gy/bYH5Cr
U13;E;GlobalHealth;Isabella;Brown;jobs@GlobalHealth.uy;asdfg654;https://blfw.short.gy/82uDvg
U14;E;ANTEL;Washington;Rocha;jarrington@ANTEL.com.uy;2nru096;https://blfw.short.gy/KctFIP
U15;E;MIEM;Pablo;Bengoechea;eldiez@MIEM.org.uy;ibii4xo;https://blfw.short.gy/LDlZmT
U16;E;TechSolutions;Mercedes;Venn;Mercedes@TechSolutions.com.uy;1ngs03p;https://blfw.short.gy/TN0OFW
