Ref;Tipo;Nickname;Nombre;Apellido;Email
U1;P;lgarcia;Lucía;García;lgarcia85@gmail.com
U2;P;matilo;Matías;López;matias.lopez90@hotmail.com
U3;P;maro;María;Rodríguez;marrod@gmail.com
U4;P;javierf;Javier;Fernández;javierf93@yahoo.com
U5;P;valen25;Valentina;Martínez;vale87@gmail.com
U6;P;andpe12;Andrés;Pérez;anpe92@hotmail.com
U7;P;sicam;Camila;Silva;camilasilva89@gmail.com
U8;P;sebgon;Sebastián;González;gonza95@yahoo.com
U9;P;isabel;Isabella;López;loisa@gmail.com
U10;P;marram02;Martín;Ramírez;marram@hotmail.com
U11;E;EcoTech;Sophia;Johnson;info@EcoTech.com
U12;E;FusionTech;William;Smith;contacto@FusionTech.net
U13;E;GlobalHealth;Isabella;Brown;jobs@GlobalHealth.uy
U14;E;ANTEL;Washington;Rocha;jarrington@ANTEL.com.uy
U15;E;MIEM;Pablo;Bengoechea;eldiez@MIEM.org.uy
U16;E;TechSolutions;Mercedes;Venn;Mercedes@TechSolutions.com.uy
